University,Country,university_normalized,id,display_name,display_name_alternatives,country_code,country,keep,comment
Radboud University,Netherlands,radboud university,https://openalex.org/I145872427,Radboud University Nijmegen,NA,NL,Netherlands,TRUE,
Rey Juan Carlos University,Spain,rey juan carlos university,https://openalex.org/I182083151,King Juan Carlos University,NA,ES,Spain,TRUE,
Ruhr-Universität Bochum,Germany,ruhr-universitat bochum,https://openalex.org/I904495901,Ruhr University Bochum,NA,DE,Germany,TRUE,
Saint Petersburg State University,Russia,saint petersburg state university,https://openalex.org/I172901346,St Petersburg University,NA,RU,Russia,TRUE,
Samsun Ondokuz Mayis University,Turkey,samsun ondokuz mayis university,https://openalex.org/I227306068,Ondokuz Mayıs University,NA,TR,Turkey,TRUE,
Savitribai Phule Pune University,India,savitribai phule pune university,https://openalex.org/I878213199,University of Pune,NA,IN,India,TRUE,
Shahid Chamran University of Ahwaz,Iran,shahid chamran university of ahwaz,https://openalex.org/I196051555,Shahid Chamran University of Ahvaz,NA,IR,Iran,TRUE,
Shiraz University of Medical Science,Iran,shiraz university of medical science,https://openalex.org/I194604659,Shiraz University of Medical Sciences,NA,IR,Iran,TRUE,
Soochow University,China,soochow university,https://openalex.org/I185940356,Soochow University,[],TW,Taiwan,FALSE,
Southeast University,China,southeast university,https://openalex.org/I4210090971,Southeast University,[],BD,Bangladesh,FALSE,
St Louis University,United States,st louis university,https://openalex.org/I47838141,Saint Louis University,NA,US,United States,TRUE,
"Stony Brook University, The State University of New York",United States,stony brook university the state university of new york,https://openalex.org/I59553526,Stony Brook University,NA,US,United States,TRUE,
Süleyman Demirel University,Turkey,suleyman demirel university,https://openalex.org/I4210120897,Suleyman Demirel University,[],KZ,Kazakhstan,FALSE,
"Technion, Israel Institute of Technology",Israel,technion israel institute of technology,https://openalex.org/I174306211,Technion – Israel Institute of Technology,NA,IL,Israel,TRUE,
Technische Universität Bergakademie Freiberg,Germany,technische universitat bergakademie freiberg,https://openalex.org/I61893789,TU Bergakademie Freiberg,NA,DE,Germany,TRUE,
Technische Universität Berlin,Germany,technische universitat berlin,https://openalex.org/I4577782,Technical University of Berlin,NA,DE,Germany,TRUE,
Technische Universität Darmstadt,Germany,technische universitat darmstadt,https://openalex.org/I31512782,TU Darmstadt,NA,DE,Germany,TRUE,
Technische Universität Dresden,Germany,technische universitat dresden,https://openalex.org/I78650965,TU Dresden,NA,DE,Germany,TRUE,
Technische Universität Kaiserslautern,Germany,technische universitat kaiserslautern,https://openalex.org/I153267046,University of Kaiserslautern,NA,DE,Germany,TRUE,
