id,issn_l,issn,pissn,eissn,display_name,journal_title,publisher.x,publisher.y
https://openalex.org/V2737399833,2038-6184,null,2038-6184,NA,PsicoArt,PsicoArt,NA,University of Bologna
https://openalex.org/V2737634757,1696-2060,null,NA,1696-2060,Historia Actual Online,Historia Actual On-Line,NA,Asociación de Historia Actual
https://openalex.org/V2738278456,2240-5429,"[""2240-5429"", ""2240-5437""]",2240-5429,2240-5437,Tintas : Quaderni di Letterature Iberiche e Iberoamericane,Tintas : Quaderni di Letterature Iberiche e Iberoamericane,NA,Università degli Studi di Milano
https://openalex.org/V4210168836,0301-8296,"[""2386-7124"", ""0301-8296""]",NA,2386-7124,Mayurqa,Mayurqa,NA,Edicions UIB
https://openalex.org/V4210172084,1799-8204,"[""1799-8204"", ""2242-2471""]",1799-8204,2242-2471,International journal of sino-western studies,International Journal of Sino-Western Studies,Eurasia Academic Publishing,Sanovan Press
https://openalex.org/V4210181447,1412-2634,"[""1412-2634"", ""2548-4753""]",1412-2634,2548-4753,Religi: Jurnal Studi Agama-Agama,Religi: Jurnal Studi Agama-Agama,Al-Jami'ah Research Centre,"Program Studi Agama-Agama, Universitas Islam Negeri Sunan Kalijaga Yogyakarta"
https://openalex.org/V4210182615,1677-7220,"[""2526-6160"", ""1677-7220""]",1677-7220,2526-6160,Revista bibliomar,Revista Bibliomar,Universidade Federal do Maranhao,Universidade Federal do Maranhão
https://openalex.org/V4210184739,2518-2943,"[""2518-2943""]",NA,2518-2943,Arquitectura +,Arquitectura +,Latin America Journals Online,Facultad de Arquitectura - Universidad Nacional de Ingeniería
https://openalex.org/V2764809378,2044-7221,null,NA,2044-7221,Art Therapy Online,Art Therapy Online,NA,"Goldsmiths, University of London"
https://openalex.org/V4210189479,1791-5201,"[""1791-5201"", ""1792-037X""]",1791-5201,1792-037X,International Journal of Caring Sciences,International Journal of Caring Sciences,NA,Professor Despina Sapountzi-Krepia
